criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
entropy,random,76,0.07329197597634374,sqrt,none,0.8540688819206638
entropy,best,76,0.07193903505964296,sqrt,none,0.8889960397127513
entropy,best,76,0.0729957299769779,,none,0.9167199506345645
entropy,best,75,0.07137177818721098,sqrt,none,0.8897015149706244
entropy,best,76,0.07190800824407731,sqrt,none,0.8722977067093899
entropy,best,80,0.07100867428304505,sqrt,none,0.8821830418420769
entropy,best,78,0.07141123032209815,,none,0.9168468483626903
entropy,best,75,0.06734561372552925,sqrt,none,0.8807576711672217
entropy,best,79,0.07586341418271383,sqrt,none,0.8881519132617552
entropy,best,76,0.07193049718440166,sqrt,none,0.8733259905509287
gini,best,145,0.05307639650181406,sqrt,none,0.8905706263657374
gini,best,145,0.05299897577308908,sqrt,none,0.871889987139078
gini,best,145,0.05309432581568726,sqrt,none,0.8791388504876441
gini,best,145,0.05304891039070405,sqrt,none,0.8883018982913694
entropy,best,75,0.07225654769075658,,none,0.9167199506345645
gini,best,145,0.0529176712233071,sqrt,none,0.8742178962436379
gini,best,145,0.05296134554398276,sqrt,none,0.9088238978625881
gini,best,145,0.05323026612478269,sqrt,none,0.8882584828324201
entropy,best,77,0.07265672274353821,,none,0.9167199506345645
gini,best,145,0.05309509860714703,sqrt,none,0.9005116199833685
gini,best,145,0.053154885032090614,sqrt,none,0.8855553746685937
entropy,best,76,0.0720986481050174,sqrt,none,0.8849231009671558
entropy,best,75,0.07125193583315714,sqrt,none,0.8816237865342748
gini,best,145,0.05296085612058951,sqrt,none,0.891871106755881
gini,best,145,0.05290057861775151,sqrt,none,0.8872941526655423
gini,best,144,0.05282964338872841,sqrt,none,0.8870784241233917
gini,best,145,0.052806417658460475,sqrt,none,0.8965428522152981
gini,best,144,0.05267470209996581,sqrt,none,0.9011032573747685
entropy,best,75,0.07232200480909304,,none,0.9167199506345645
entropy,best,77,0.0756207477438339,sqrt,none,0.8875711206450584
gini,best,144,0.05264953898766,sqrt,none,0.8915136756369514
gini,best,75,0.07194117028525736,sqrt,none,0.8715212164795098
gini,best,144,0.052277044508357844,sqrt,none,0.8926762356567274
gini,best,143,0.05217709410610452,sqrt,none,0.8931170091378607
gini,best,143,0.05206343211632769,sqrt,none,0.8812336621367015
entropy,best,78,0.07241682671765176,sqrt,none,0.8881532697928921
gini,best,143,0.052044304958028406,sqrt,none,0.8879534865940863
gini,best,143,0.05196899229809107,sqrt,none,0.8970973970091299
gini,best,143,0.05184067925352855,sqrt,none,0.8878630217184181
entropy,best,76,0.07142502336240523,sqrt,none,0.8894285209415939
entropy,best,76,0.07170112733821103,,none,0.9168468483626903
gini,best,143,0.0516745494140056,sqrt,none,0.8926332532974355
gini,best,142,0.051549963245326236,sqrt,none,0.8857664452513997
entropy,random,81,0.07290931289981978,sqrt,none,0.8213619555389906
entropy,random,75,0.07264953759188288,,none,0.9000355055879755
gini,best,142,0.051898247624631404,sqrt,none,0.8702822467794628
entropy,best,78,0.07227793260056425,sqrt,none,0.8781186565038593
gini,best,72,0.07092033854669309,,none,0.9178313759000177
gini,best,143,0.05219718429175473,sqrt,none,0.8719534451683066
gini,best,144,0.052406298503734294,sqrt,none,0.8795802341237459
entropy,best,68,0.06964978765921483,sqrt,none,0.9000701818117772
gini,best,144,0.05260741907999814,sqrt,none,0.8827253755041778
gini,best,144,0.0525722356729111,sqrt,none,0.8854601309821453
gini,best,144,0.05251898966312719,sqrt,none,0.8737989187698004
gini,best,144,0.05273760012370948,sqrt,none,0.8808390487043458
gini,best,144,0.05258175716332708,sqrt,none,0.8861053284732897
gini,best,144,0.05252559042354579,sqrt,none,0.8967604555025886
entropy,best,74,0.06882782034250294,sqrt,none,0.8688817004224804
entropy,best,73,0.06902883246115953,,none,0.9168154561423668
entropy,best,69,0.07425543651942497,sqrt,none,0.877867622476325
entropy,best,74,0.06870729500052458,sqrt,none,0.8636531958777178
gini,best,144,0.052782666661325736,sqrt,none,0.8945905978120555
gini,best,144,0.05274900220471409,sqrt,none,0.8955809197386007
